Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,daily cases,daily deaths,posratio
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-24,13134.0,16627.0,366.0,341.0,9.0,0.025963149078726967
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-25,10073.0,16913.0,369.0,286.0,3.0,0.02839273304874417
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-26,21498.0,17228.0,376.0,315.0,7.0,0.01465252581635501
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-27,9966.0,17444.0,379.0,216.0,3.0,0.021673690547862733
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-09-28,6696.0,17707.0,383.0,263.0,4.0,0.03927718040621266
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-01,11571.0,18886.0,393.0,411.0,2.0,0.03551983406792844
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-02,10518.0,19346.0,398.0,460.0,5.0,0.04373455029473284
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-03,12593.0,19613.0,405.0,267.0,7.0,0.021202255221154608
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-04,10407.0,19842.0,409.0,229.0,4.0,0.02200442010185452
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-05,7275.0,20142.0,417.0,300.0,8.0,0.041237113402061855
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-06,13168.0,20541.0,420.0,399.0,3.0,0.030300729040097205
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-07,13096.0,20947.0,424.0,406.0,4.0,0.031001832620647526
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-08,12668.0,21381.0,430.0,434.0,6.0,0.034259551626144615
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-09,12414.0,21772.0,431.0,391.0,1.0,0.0314966972772676
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-10,15401.0,22078.0,436.0,306.0,5.0,0.019868839685734694
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-11,10357.0,22358.0,449.0,280.0,13.0,0.027034855653181422
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-12,6966.0,22652.0,456.0,294.0,7.0,0.04220499569336779
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-13,20820.0,23060.0,462.0,408.0,6.0,0.019596541786743516
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-10-14,21531.0,23495.0,469.0,435.0,7.0,0.020203427615995542
